,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
437,porque las pelotas no cantan,que grita muy fuerte y grita todo el tiempo,un perro,la luna por que su forma se parece a la de una pelota y su color se parece al color plata,puede ser fr�gil o arrugada,son flores muy bonitas y de color oro,que no pueden expresar f�cilmente sus sentimientos,que su sonrisa es muy linda,para algunas personas el a�o esta pasando de una manera muy lenta,para algunas personas el tiempo se les esta pasando muy r�pido,que sus ojos son color miel,es posible porque algunas personas tienen los ojos de este color,que el collar esta hecho de perlas,es posible porque existen los collares de perlas,que son escobas que se rompen muy f�cilmente,no es posible por que no existen las escobas de cristal es una met�fora,que la comida tiene mucha sal,es posible porque a la comida se le puede poner mucha sal y esto la vuelve salada,que son abrazos delicados no son abrazos fuertes,es posible porque puedes dar abrazos fuertes o puedes dar abrazos suaves,que el l�piz no pinta bien o su color no es bueno,no es posible por que los lapices no tiene sabor pero se puede referir al color es una met�fora,que la temperatura va a estar muy calurosa,no es posible por que los hornos no se pueden acercar pero se puede referir a que va hacer mucho calor es una met�fora,que el tren esta viajando hacia alg�n lugar,es posible porque la gente viaja en tren para llegar a varios lugares,que los d�as est�n pasando muy r�pido,no es posible porque los d�as no pueden correr pero se refiere a que los d�as est�n pasando muy r�pido es una met�fora
438,por que una pelota no no hay tal cosa aunque se podr�a usar como una met�fora,que su hermano tiende a gritar mucho,una mascota,tiene referencia al color de la luna o como la vemos por el reflejo del sol brillante a la vista humana por la lejan�a y el reflejo,maltratado,blancos y derechos,amable y buena,una sonrisa falsa o sin emoci�n,cambio a ser de d�a,paso algo malo pero en el futuro vendr� algo bueno o mejor,brillantes o delicadas,por que las estrellas se componen en la mayor�a de gases y rocas,su significado es literal que significa vestidos hechos de tela,por que si existe por que todos los vestidos est�n hechos de tela a pesar de usar diferentes materiales para hacerlos,zapatos de color miel,por que existen diferentes colores de zapatos dependiendo de los gustos de las personas,alguien frio o distante que no muestra mucho sus sentimientos,por que las personas se adaptan dependiendo su alrededor y si es hostil tienden a comportarse as�,un alma fuerte y valiente,por que hay personas que a pesar de las adversidades aun contin�an sus objetivos con una perseverancia impresionante aunque le digan que no se puede,soledad,posible si es el significado que considero de lo contrario podr�a ser cualquier otra cosa,por que una silla no se mueve a menos que alguien la lleve,que una siga se haga presente,algunos atletas como los corredores corren la mayor�a de las veces,por que existe el deporte del atletismo justamente basado en correr,el tiempo es suficiente,por que se puede dar una cantidad exacta de tiempo para una actividad
439,si porque todos las pelotas que menciona se refieren a la acci�n o apariencia de un ser vivo o cosa,que se refieren a que la pelota representa su hermano y como su hermano grita mucho esa es la acci�n que representa a su hermano,una mascota o un peluche,yo creo que come se esta refiriendo en la primera frase al sol en la segunda como la luna tiene color plata yo pienso que se refiere a la luna,seco y enredado,muy limpios,muy amable,reluciente,ya paso,que las cosas pueden mejorar,que un cristal tiene forma de estrella,porque se pueden formar estrellas con cristal,que el vestido esta hecho de tela,que si porque es con el material que la mayor�a de los vestidos est�n hechos,que un zapato esta hecho de miel,que no porque no es un material resistente que se pueda usar diariamente,una figura plasmada en una piedra con su figura,si es posible porque en las piedras se pueden tallar figuras y en especial las esculturas,que una persona es muy valiente,no es posible que una persona tenga alma de hierro pero el termino se usa para referirse a una persona muy fuerte de coraz�n o valiente,que la banqueta es segura,no es posible f�sicamente pero creo que puede referirse a una banqueta segura,no creo que sea posible porque las sillas no se pueden mover solas,que una silla esta en un lugar,a las personas que est�n dedicadas a correr y lo practican como deporte,si es posible porque el atletismo es para correr,que es suficiente una cierta cantidad de tiempo,si es posible porque la frase es usada para referirse a que el tiempo es suficiente
440,porque es una met�fora y las met�foras comparan cosas con otras,su hermano debe ser un ni�o peque�o y por lo general los ni�os peque�os gritan cuando hacen berrinches tambi�n puede ser un bebe su hermano y pues los bebes lloran,un gato alg�n animal peludo o tal vez su papa,la luna es redonda al igual que el sol en la primera frase uno puede entender que habla del sol entonces cuando va a la siguiente frase uno puede deducir que habla de la luna ya que la luna puede decirse que es plateada,rasposo,blancos brillantes,tierna cari�osa amable,fr�a sin sentimiento,paso algo que nadie quiere recordar,que aun faltan mas cosas buenas por venir,que las estrellas son tan brillantes como cristales y tan bellas como ellos,porque las estrellas son bolas de fuego a millones de kil�metros de distancia no pueden ser de cristal si lo fueran no serian estrellas,que los vestidos est�n hechos de tela,porque los vestidos est�n hechos de tela digo puede haber vestidos hechos de otra cosa pero es muy escaso verlos,que los zapatos son tan amarillos como la miel,porque si hubiera zapatos de miel los pies quedar�an pegajosos no es muy buena idea que los hagan no creo que serian muy comercializados,que la escultura esta hecha de piedra,generalmente las esculturas son de m�rmol o de yeso o algo similar pero es posible que una escultura este hecha de piedra,que la persona tiene un alma fuerte inquebrantable resistente,uno las almas no existen es algo espiritual dos si lo fueran no creo que serian de hierro,no tengo la menor idea,no creo que una banqueta pueda abrigar a alguien o a algo son de concreto y el concreto no se mueve,no creo que una silla tenga vida propia y pueda desplazarse de un lugar a otro a menos que alguien tenga de apodo la silla,0,que los atletas corren,porque deben de correr para ponerse en forma,que el tiempo es suficiente para hacer algo,es una expresi�n muy conocida ademas tiene sentido tal y como lo dices
441,las pelotas no cantan,porque esta gordo y grita demasiado,un perro o gato gordo,una pelota color plata,duro grueso y rasposo,muy blancos brillantes y bien alineados,muy amable no hace dramas y es muy amistosa,una sonrisa falsa sin sentimientos ni emociones,ya paso forma parte del pasado y ya no se puede cambiar,que si estas en una mala situaci�n eso mejorara y la pasaras mucho mejor y eso se resolver�,que las estrellas brillan demasiado son muy brillantes,es posible por la atm�sfera y los compuestos de la estrella tambi�n de la temperatura y la cercan�a al n�cleo,vestidos hechos de tela,la mayor�a los vestidos est�n hechos de tela,zapatos fabricados con miel,no se puede porque la miel es liquida y no va a conservar la forma del zapato,una piedra tallada para que tenga la forma de algo,si la piedra es resistente y con trabajo se logran buenos resultados,que no te afecta nada emocionalmente,si eres fuerte y conf�as en lo que crees,una banqueta c�moda y muy calentita,es posible mucha gente vive ah� aunque no quieran y la hacen ver c�moda algunas veces,si porque las sillas si pueden ser llevadas a lugares no voluntariamente,que la silla ya llego a donde deb�a llegar fue transportada,los atletas corren porque es parte fundamental de ser atleta,si en todos los deportes corres o es necesario correr excepto nataci�n bicicleta tiro al blanco y algunos deportes de invierno,el tiempo es suficiente,porque queda tiempo suficiente para lograrlo
442,porque literalmente puede tener un aparato adentro,la pelota significa su hiperactividad o sea como rebotar y los gritos representa el ruido que hace,un perro una axila todo el cuerpo humano,la mente es muy valiosa y brillante,maltratado,blancos y limpios,amable,sin sentimiento,desapareci� y amaneci�,que los viejos malos recuerdos ser�n remplazados por nuevos y buenos,que brillan mucho como un cristal,porque seg�n yo las estrellas tienen partes de cristales,el material es tela,porque hay vestidos as�,pueden ser suaves o pegajosos por el sudor,si lo tomas literal no se puede,que en la antig�edad se hac�an estatuas as�,pues porque literalmente es as�,que tu alma es fuerte contra situaciones dif�ciles,porque hay personas as�,0,no le encontr� sentido,si porque puede ser una silla el�ctrica del futuro o el apoyo de alguien hacia ti,que el apoya de alguien llego,que las personas que son atletas corren,porque eso es lo que hacen literal,que para realizar algo importante todav�a tienes algo de tiempo de sobra,porque si quiero hacer un proyecto para el pr�ximo lunes el tiempo me alcanza para hacerlo
443,no entiendo a que se refiere,que su hermano no deja de gritar,un h�mster alg�n animal,la luna por que es redonda y de color plata,chino,blancos,amable,blanca,ya paso,que todo va a mejorar,estrellas que brillan,por que es una met�fora,que los vestidos est�n hechos de tela,por que los vestidos si est�n o pueden ser de tela,no le entend� a esa met�fora,por que no entend� que significaba,que es una escultura hecha de piedra,por que las esculturas si est�n hechas de piedra,alma fuerte,por que si puedes tener un alma fuerte,que la banqueta esta c�moda,por que la banqueta si puede estar c�moda,por que pueden traer la silla,que ya trajeron la silla,que los atletas est�n corriendo,por que los atletas si pueden correr,que ya vas tarde,por que si puedes llegar tarde
444,porque tu mama puede cantar,gritan mucho,un gato,es del mismo color que la luna,como seco,brillantes,linda,que te da como miedo,se acabo,que luego sera mejor,una estrella hecha de cristal,porque es una forma de estrella en cristal,que traes puesta telas,porque hay ropa que es hecha de tela,0,porque la miel tiene diferentes formas de ser,una escultura hecha de piedras,una escultura puede ser de piedra,que tienes el alma resistente,porque hay gente que es mas f�cil para ellos soportar algo,que la banqueta te cubre,porque ya existe,las sillas no caminan por si mismas,no tiene sentido,que corren,si eres atleta corres,que ya casi llega el tiempo,porque se te puede acabar el tiempo
445,mi mama canta mucho,que grita demasiado,mi cabeza,la irradia luz tan blanca como el reflejo en plata,no se que es zacate,brillantes,amable,fr�a,ya paso,que cosas buenas pasaran,estrellas hechas de cristal una obra de arte,porque un humano si puede hacer un estrella hecha de cristal,ropa hecha de tela,porque la ropa de la gente normal esta hecha de tela,zapatos hechos con miel,es imposible porque la miel es liquida,una estatua hecha de piedra,porque la piedra es solida para que se quede estable y en su lugar,un alma muy fuerte,porque puedes tener un esp�ritu fuerte o d�bil,una banqueta suave,porque la banqueta esta hecha de piedra,porque no es posible que una silla se mueva por si misma,la silla vino,gente atleta corriendo,porque los atletas est�n destinados a correr,que el tiempo es suficiente,porque el tiempo empieza y termina
446,porque las son un objeto,que el ni�o grita mucho tiempo continuo,un gato,la luna es redonda y plateada o gris,quebradizo,brillantes,linda,sonrisa limpia,quedo en el pasado,que en el futuro alguien mejor llegara,estrellas muy brillantes,si es posible porque es una figura brillante,ropa,porque la tela es un material que com�nmente se ocupa para hacer ropa,zapatos pegajosos,porque la miel es pegajosa,algo fuerte,porque es un material fuerte que se pueden hacer muchas cosas con piedra,alma fuerte no sensible,porque es un sentimiento,que las banquetas est�n bien hechas,porque las banquetas no est�n nada bonitas,porque te pueden dar otras oportunidades,que tienes un lugar disponible,que es un deporte donde se corre,por el tipo de deporte y pista,que siempre hay tiempo restante,porque el tiempo no puede controlarse y no siempre alcanza el tiempo
447,las pelotas no cantan,significa que su hermano llora y gritos mucho,un animal,pongo dinero porque es como un pelota de plata,el cabello es corto y liso,las dientes tienen anillos,si hermana es muy dulce y simp�tica,significa que ella esta haciendo un sonrisa falso,significa que la noche te ayuda a pensar,significa que vamos a tener mejor oportunidad,significa que es un cristal que se compone de escombros de estrella,creo que si porque se puede que una estrella tumba del cielo y que despu�s se transforme en cristal,significa que es un vestido hecho de tela,creo que si porque si tu tienes tela pues tu puedes hacer un vestido,significa hacer zapatos con miel,creo que no porque si tu f�bricas zapatos de miel pues tu no puedes poner esos zapatos porque si intentas de caminar con ellas te vas a caer o tu vas a no tener zapatos porque el miel se va a ir en la tierra,significa un escultura hecho con piedra,porque puedes hacer escultura con piedra porque ese material es muy bien para hacer estatuas,pues no soy seguro pero para mi significa que tienes una personalidad pues cruel probablemente,creo que si porque se puede que una persona tiene una personalidad muy cruel y que puedes su personalidad afecta a su alma y el se convertido en alma de hierro,significa una banqueta que hecho calor,creo que si porque podr�amos utilizar tecnolog�a para poner un sistema que podr�a poner calor en una banqueta,creo que si porque es totalmente posible,significa que silla puedes venir,significa que atletas corren,creo que si porque el comercio de los atletas es de correr,significa que el tiempo es alcanza cuando por ejemplo un reloj es alcanza,si porque tu puedes tener solo como 3 horas para hacer un ejercicio y despu�s tu tiempo es alcanza
