,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
270,271,f,por que las pelotas hacen ruido al lanzarlas,,que hace ruido,,un globo,,que es diferentes a las demas,,enredado,,muy blancos y brillosos,,muy linda,,muy fria :v,,quedo en el pasado,,que con el tiempo me ira mejor,,que las estrellas serian lindas :v,,no es posible por que son diferentes,,vestimenta,,si es posible ya que son de tela,,son suaves,,no es posible por que no se podria caminar,,estatua,,por que es alguna obra,,que es muy fria,,por que seria muy pesada,,protectora,,por que no te protegeria como tal,,que se movio,,por que esta fija en algun lugar,,recorren,,por que son deportistas :v,,puedes lograrlo con el tiempo que tengas,,por que puedes lograrlo,,,
271,272,f,porque ninguna pelota canta,,que cada bote que da es un grito de mi hermano,,un nido,,pelota que brilla,,el cabello es negro y largo o cortito,,que brillan mucho,,"mi hermana es muy bonita, tierna, y inteligente",,sonrisa tan fria,,"pues quedo atras, ya paso",,que los tiempos son diferentes hay cosas mejores que te faltan recorrer,,que con el cristal hacen estrellas,,porque no se puede hacer eso,,que con la tela hacen la ropa que vestimos,,porque mucha gente viste con ropa,,la miel es muy liquida y no es posible por que no se puede,,por que es muy liquida,,que una simple piedra puede ser una escultura,,porque es algo que con ese material se hacen esculturas,,que una persona no puede ser dura,,por que cada persona tiene sentimientos,,que te puede cubrir,,por que una banqueta es muy dura,,que una silla donde quiera se encuentra,,porque hay muchas sillas,,que son muy agiles,,porque hacen ejercicio,,que si no te apresuras el tiempo te llega de sorpresa,,porque las cosas se te juntan,,,
272,273,f,porque la pelota es un objeto,,que su hermano se la pasa gritando,,un juguete para estres,,"que brilla, y te llama la atencion",,"es delgado, de diferente color",,"blancos, brillantes",,"carinosa, alegre",,"grande, feliz, y bonita",,que pasa pero nunca se queda,,que pase lo que pase el tiempo te lo repondra para bien o para mal dependiendo tus acciones buenas o malas,,que son brillantes,,no porque las estrellas estan hechas de pequenos asteroides,,que estan hechos de tela,,si la mayoria son de tela,,que pueden llenarse de miel,,no porque no existen,,que son hechos a base de piedra,,si a eso se dedican los escultores,,que hay algo duro o es malo,,no porque no estan hechos de hierro,,que no es real,,no porque no abrigan son hechos de cemento,,que la silla no se mueven solas,,no es posible porque las sillas no corren o caminan,,que hacen un deporte,,si es posible porque es algo que cualquier persona puede hacer,,entre mas tardes mas tiempo necesitaras,,"si porque cuando haces algo que te gusta se te pasa el tiempo de volada y cuando no, es una eternidad",,,
273,274,f,por que las pelotas no cantan,,por siempre mete goles,,la cabeza,,que es una pelota magica o especial,,bonito,,son brillozos,,tierna,,que sonrrie siempre,,que no importa el pasado,,que no hay que pensar en lo pasado,,que las estrellas son muy brillantes,,por que tienen un gran resplendor,,que son muy suabes,,por que asi nos gusta tener la ropa,,que son muy comodos,,hay en ocaciones que los zapatos son muy comodos por eso dicen eso,,que las esculturas son asi,,por que asi son mas bonitas las esculturas,,que las amas de casa nunca se cansan y aunque esten cansadas tienen que hacerlo,,por que algunas personas les gusta mucho hacer esa labor,,que siempre esta caliente por que pasan muchos carros o coches,,por que asi estan,,que algien se va a sentar alli,,por que la jente se cansa,,por que ese es su trabajo,,por que es su pasion,,que hay tiempo para todo,,por algunas personas no hasen lo que deben,,,
274,275,f,por que cuando cae o la mueves hace sonidos,,quiere decir mi hermanito todo el tiempo grita,,el estropajo,,es un reconocimiento de tu esfuerzo,,de estropajo sus caracterizticas son: rubio maltratado y duro,,brillantes por la pasta dental,,"tierna, alegre, risuena, bonita.",,transparente y se derrite,,ocurrieron pesadillas,,que habra nuevas oportunidades y que pasaran cosas mejores.,,cuando hace mucho frio,,si si es posible todo en esrta vida es posible,,prenda de tela o de algodon,,si es posible por que la mayor poblacion usa prendas de tela,,zapato de cuero cubierto con miel,,por que se nos pegarian los pies o nos picarian las abejas,,arte de grandes escultores esta esta hecha de piedra,,si es posible por que es algo que hacen los escultores y eso es tener algo de cultura,,persona sin sentimientos,,por que por mas que una persona sea mala todos los seres humanos tenemos sentimientos,,banqueta pavimentada cubierta con basura,,si por que a la comunidad no le gusta limpiar xdxd :),,la silla de ruedas ya llego,,por que si hay sillas que se mueven,,persona haciendo ejercicio,,si por que son muy deportivos,,que para todo hay tiempo,,si por que de todos modos lo vas a hacer,,,
275,276,f,porque una pelota no puede cantar,,que el hermano se la pasa gritando,,un perro,,yo creo que es la luna,,lacio y largo,,blancos y muy brillantes,,agradable,,una sonrisa falsa,,que la noche ya paso,,que tenemos que esperar y ser pacientes para que la vida nos traiga mejores momentos,,las estrellas que brillan,,"porque si, porque las estrellas que brillan en el cielo podemos imaginar eso",,vestidos echos de tela,,"porque hay vestidos que son de tela, como tambien de otros materiales",,creo que zapatos echos de miel o algo asi,,"no es posible, porque los zapatos estan echos de materiales solidos",,una escultura echa con material de la piedra,,"si, porque asi como hay esculturas de bronce,plata,oro, puede a ver de piedra y de mucho mas",,una alama a la que no le duele nada,,"yo digo que no porque, a una aloma todo le duele depende de lop que sea",,"que por ejemplo una persona que no tiene un hogar, puede sentirse abrigado simplemente por una banqueta",,"yo digo que si, porque una persona que no tiene amor puede estar bien hasta en un a banqueta",,como que ya llego la solucion a tus problemas,,"si,porque es cuando nuestra vida puede empezar a mejorar",,que las personas que son atletas pues corren y deben tener la habilidad para hacerlo e ir mejorando cada dia mas,,"si,porque los atletas deben de tener esa habilidad porque son atletas",,que si el tiempo es suficiente para poder hacer actividades,,"no,porque erl tiempo de el dia a dia es muy corto para realizar nuestras tareas",,,
276,277,f,por que no,,que es muy grito,,es como un animal,,es una pelota de plata,,es como la pulpa de una sabana,,hermosos,,tierna,,bonita,,se va,,que se mejorar la situasion,,si ya estrellas de crita,,yo dijo que si por que si ya y son de adorno,,que toda la ropa esta hecha de tela,,pues yo dijo que si por que toda la ropa esta hecha de tela,,que no se puede,,pues dijo que no es posible por que con la miel nose puede,,que si se puede hacer de piedar,,yo dijo que si es posible por que las otilizan para odornos,,que no tiene swentimientos,,yo dijo que no por que todo ser humano tiene sentimientos,,que no es abrigadora,,no por que todas las banquetas son frias,,que llego la silla,,NS,,que es un deporte,,yo dijo que si por que es el deporte que a ellos el gusta,,que el tiempo pasa,,que si por que el tiempo pasa,,,
277,278,f,por que no ahi muchas cosas con forma de pelota,,que su hermano es una latoso,,bolitas de pelo caidos,,es un trofeo de futbol el trofeo tiene una pelota de plata,,cabello enredado,,blancos y brillantes,,es carinosa y linda,,fria y helada,,paso y comenso un nuevo dia,,que si algo salio mal puede aver dia mejores que el otro,,que una estrella esta echa de cristal,,no es posible por que las estrellas no puedes estar echa de cristal,,que esta echo de tela,,por que toda la ropa o cualquier tipo de ropa para vestir esta echo de tela,,que estan echos de miel,,no es posible por que los zapatos de miel serian incomodos y pegajosos,,que se pueden hacer de diferentes cosas,,por que hay esculturas echas de piedra etc.,,no tiene sentido,,por que las almas es ilojico que este echo de hierro y solo se usan en expreciones,,no tiene sentido,,no tiene sentido,,no tiene sentido,,no por que las sillas no se mueven,,que los atletas corren,,por que todo deportista corre o camina o trota,,nada,,por que el tiempo no para no es posible pararlo aun asi el tiempo correria y jamas parara,,,
278,279,f,por que me lo imagine asi,,que llega a gritar mucho,,un gato,,pues pense en un jardinero por que hace el mantenimiento de las plantas,,chino o esponjado,,son brillosos,,es tierna y amigable,,muy blanca,,ya paso,,tuvo un mal dia pero habra mejores,,que sean muy brillantes,,por que las estrellas brillan mucho,,que estes como en buelta en cobijas o sabanas o algo asi,,por que seria padre y la tela te cubriria,,"que estarian bonitos, aunque nunca lo avia pensado",,por que serian curiosos almismo tiempo que raros,,que si se puede,,por que es un material padre para realizarla,,que seria fuerte,,por que pueden ser personas muy fuertes mental mente,,que si se podria poder,,por que si puedes pensarlo tal vez lo puedes hacer,,que se pudo mover,,por que puede ser posible,,que se mueven,,por que mantienen su figura y condicion,,que el tiempo corre o va pasando,,por que puede pasar que estas divagando y en menos que esperavas ya es tarde o etc.,,,
279,280,f,por que no cantan,,que es muy gritos,,un gato etc,,que es cara y cuesta mucho,,feo y duro,,bonitos y blancos,,lindo y tierno,,fria,,que ya paso la noche,,que pasaran cosas mejores,,que son brillantes y bonitas y fragiles,,por que las estrellas no son de cristal,,que es de tela,,por que todos los vestidos son de tela,,pues que son de piel,,por que los zapatos no pueden ser de miel,,que esta dura e inmovil y es de piedra,,por que si hay algunas estatuas de piedra,,que su alma es fuerte,,por que ninguna alma es de hierro,,que es caliente,,por que no hay banquetas abrigadoras,,NS,,por que las sillas no caminan,,que hace ejersisio cuando corre,,por que un atleta corre,,que ya se te esta acabando el tiempo o que el tiempo alcanza para todo,,por que pasa el tiempo,,,
280,281,f,no es cancion,,que mi hermano grita mucho y ase esallar alas personas,,mi cabeza,,que es muy brillante,,maltratado,,cuidados y brillantes,,tierna,,sonrisa blanca,,ya se metio,,que habra dias mejore que este,,que muy fragil,,por que ahi cosas fragiles,,vestido de tela,,por que todos son de tela,,no ahi,,no existen,,esculturas,,por que todas son de piedra,,que algien es muy duro,,por que puedes ser malas,,que es sueve y caliente,,no por que no existen,,que ya esta una silla,,las sillas no caminan,,que son atletistas,,tienes que caminar,,que si te apuras te alcansa el tiempo,,si por q si ahi tiempo,,,
281,282,f,no tiene boca,,q es fastidioso,,raton,,es de el color plata,,NS,,briyantes,,linda,,blanco,,mucho tiempo,,q no saves lo q te puede par algo mucho mejor,,una estrella muy brillante,,por q no puesde flotar una estrella de cristal,,un atuendo,,por q no tendriamos con q taparnos,,una cosa para tapar los pies,,para proteger los pies,,arte,,por q si no existiera el arte no supieramos lo q paso antes,,NS,,porq si fuera alma de hierro fueramos mas pesados,,NS,,por q la banqueta esta echa de grava y arena,,por q no caminan,,por q no caminan,,q corren para ganar,,por q es normal,,q pasa el tiempo rrapido,,es normal,,,
282,283,f,por que se puede referir a una persona que se la pasa cantando,,que grita mucho,,un gato,,que vale mucho para una persona,,maltratado,,blancos,,tierna,,siempre presente,,algo que le da pena decir,,"que apesar de que esten pasando cosas feas en ese tiempo,se van a recuperar y todo estara mejor",,una estatua hecha de cristal en forma de estrella,,por que he visto que hay accesorios de cristal en forma de estrella,,un vestido hecho de tela,,por que todos los vestidos que yo he visto estan hechos de tela,,zapatos pegajosos,,por que serian muy incomodos usarlos,,una escultura con piedra picada,,por que en la mayoria de las estatuas estan hechas de piedra y es muy facil de hacer las estatuas con ese material,,pues un alma muy dura y fuerte,,que soporta cosas muy fuertes,,que si las personas se suben a la banqueta las personas estan mas seguras de tener un accidente,,por que si se suben a la banqueta estan mas seguros,,que la silla esta en donde se van a sentar,,por que se deben de sentar en la silla,,que los atletas corren para llegar a la meta,,por que todos los atletas tienen la meta de seguir adelante y para eso tienen que correr,,que el tiempo se va y lo que ya no hiciste ya no lo puedes volver a hacer,,por que algunas personas desperdician su tiempo,,,
283,284,f,no,,ya es grande y grita,,la mascota,,podria ser una cadena de plata,,"largo , corto o de colores",,blancos,,alta y estudiosa,,agradable,,dormir,,que tendras tiempo pa recuperra lo perdido,,objeto,,si es posible ya que existe los materiales,,objeto que sisbeve para vestir,,ya que existe,,objeto de calzado,,si esposible,,cosa hecha a una persona,,si ya existe lo necesario,,cosa que se extray,,no,,objeto que portege de algo,,ya que no existe,,objeto para sentarse,,ya existe,,aquel que hace ejercicio o corre,,ya existe,,numero,,ya que sirve,,,
284,285,f,"por k no hablan
y ya ja",,que grita mucho,,la vulva,,que brilla,,que esta feo,,que brillan y son blancos,,que es muy tierna,,que es muy fria la sonrisa,,que ya es pasado,,que vendran mejores cosas como oportunidades,,NS,,NS,,que son vestidos de tela normal,,por que si,,NS,,NS,,que esta echo de piedra,,por que si existen,,...............................,,....................................................,,NS,,NS,,no seeeeeeeeeeeeeeeeee,,por que las sillas no caminan,,por que tienen 2 pies,,por que si pueden correr,,depende por que luego necesitas mas tiempo,,por que si y ya,,,
285,286,f,las pelotas no tienen la habilidad de cantar,,que se la pasa gritando todo el tiempo,,un gato,,que es una moneda de plata,,enrredado,,blancos,,tierna y agradable,,que casi no sonrie,,desaparecio cundo salio el sol,,que tendran oportunidades mejores,,por que no estan hechas de esos materiales,,por que no tienen esa posibilidad de hacerce,,que si existen,,por que si se puede hacer de eso ya que ese material si existe,,que no estan hechos de eso,,por que es algo ilogico al menos que se este expresando en forma literaria,,que si hay objetos hechos con piedra,,si porque personas han hecho estas obras y han ganado dinero,,que una persona es muy fuerte y ruda,,por que es algo literario,,por que nos protege algunas veces de los autoboviles,,por que estamos asegurados,,que alguien la llevo,,yo opino que es algo literario,,que se estan ejercitando,,por que cuidan su fisico y su salud,,que no tenemos tiempo de hacer cosas,,por que esta representado en forma literari,,,
286,287,f,por q no hay bolas q canten,,q mi hermana grita,,la mascota,,q hay una bolita de aluminio,,es como una planta q tiene pelo,,son dientes con forma de perlas,,alegre y divertida,,es una persona con los dientes azules o comiendo hielo,,q la noche paso cuando nos dormimos y descansamos,,q vendra algun tiempo q todo hira bien o te hira mejor en el futuro,,q tal ves existan aunque talves no existan por puede haber estrellas de cristal,,por que el universo es enorme hay muchas cosas no exploradas por el humano o vistas por el hojo humano,,q si hay vestidos de tela por q alo largo de los anos el hombre a creado nuevas formas de vestimenta,,es posible por el hombre a podido crear tela y vestimentas,,q no han inventado los zapatos de miel,,no es posible por q los zapatos de miel atraerian alas abejas o depredadores,,q si hay esculturas de personas en piedra,,por q se pueden amoldear las piedras con forma o caracter humano,,q no hay almas de hierro mas adelante las podrian crear,,no es posible por q el alma es transparente a menos q digas mi alama es de hierro,,q hay banquetas calientitas con el sol,,es posible por q la banqueta esta calientita con el sol durante la noche,,q hay una silla nueva,,no es posible por q no tienen pies las sillas,,q las personas con alguna experiencia corren mucho y no se cansan,,corren muy rapido y velos,,q el tiempo pasa rapido,,por q el tiempo pasa cuando haces algunas cosas,,,
